Product_ID,Product_Name,Price,Quantity_Sold,Region,Sale_Date
1047,Headphone,16023740.13,56,Makassar,2023-12-19
1081,Headphone,7056297.56,40,Surabaya,2023-01-02
1006,Tablet,12891936.15,,Jakarta,2023-08-13
1073,Tablet,17833577.22,40,Surabaya,2023-10-16
1006,Monitor,12701400.58,91,Surabaya,2023-08-21
1032,Laptop,5426230.02,77,Bandung,2023-03-18
1022,Tablet,1463614.85,33,Bandung,2023-04-26
1084,Tablet,,6,Bandung,2023-06-03
1018,Smartphone,1404118.81,88,Bandung,2023-04-13
1018,Headphone,17619331.78,19,Makassar,2023-07-13
1035,Laptop,11049805.55,80,Medan,2023-06-15
1028,Smartphone,18842286.27,40,Jakarta,2023-12-25
1059,Monitor,16176881.48,92,Surabaya,2023-03-31
1081,Monitor,19960748.1,97,Makassar,2023-06-23
1001,Tablet,7663524.49,59,Jakarta,2023-05-02
1000,Tablet,,,Makassar,2023-05-23
1046,Monitor,8636687.36,48,Makassar,2023-04-16
1068,Tablet,10117636.79,41,Surabaya,2023-11-01
1019,Laptop,12922603.8,13,Medan,2023-12-26
1010,Tablet,17599865.17,45,Bandung,2023-11-13
1001,Headphone,19697585.91,89,Medan,2023-05-03
1066,Tablet,15597194.86,53,Surabaya,2023-01-09
1086,Smartphone,8937568.86,42,Surabaya,2023-09-19
1011,Laptop,9005783.04,63,Surabaya,2023-03-14
1019,Smartphone,15014063.73,27,Jakarta,2023-12-25
1004,Smartphone,5536765.77,38,Medan,2023-08-11
1036,Headphone,3099008.15,60,Medan,2023-02-10
1037,Laptop,7737821.0,7,Makassar,2023-07-23
1093,Laptop,6457540.84,5,Makassar,2023-09-21
1008,Laptop,6629854.29,45,Makassar,2023-11-24
1097,Laptop,5438547.27,58,Surabaya,2023-06-27
1052,Laptop,1799770.6,31,Medan,2023-12-14
1043,Headphone,1339604.76,23,Surabaya,2023-11-14
1098,Tablet,19766725.4,42,Jakarta,2023-03-25
1085,Smartphone,9127689.54,10,Makassar,2023-11-14
1023,Laptop,8302206.3,32,Surabaya,2023-04-21
1080,Tablet,13913298.37,53,Surabaya,2023-09-08
